,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
03-03-2020 07:11,b'I hate centurylink I hate centurylink I hate centurylink I hate centurylink I hate centurylink I hate centurylink I\xe2\x80\xa6 https://t.co/qW78g4j7VU',hate centurylink hate centurylink hate centurylink hate centurylink hate centurylink hate centurylink https,-0.8,0.9,,-0.72,,,
03-03-2020 05:52,b'RT @JamonLorenzo: America is coming for you #CrookedHillary!\n\nJudge Reportedly Orders Hillary Clinton To Sit For Deposition In Email Case -\xe2\x80\xa6',America coming CrookedHillary nJudge Reportedly Orders Hillary Clinton Deposition Email Case,0,0,,0,,Sum,243.9967001
03-03-2020 05:43,b'1/20th of the speed they say you can get up to nice. @CenturyLink https://t.co/8BR8hrwR5s',speed they nice https hrwR,0.6,1,,0.6,,,
03-03-2020 05:32,"b""RT @azcentral: Arizona Attorney General's Office settles $11 million lawsuit against CenturyLink https://t.co/AO2bnN7igs""",Arizona Attorney General Office settles million lawsuit against CenturyLink https,0.05,0.5,,0.025,,,
03-03-2020 05:30,b'RT @JamonLorenzo: America is coming for you #CrookedHillary!\n\nJudge Reportedly Orders Hillary Clinton To Sit For Deposition In Email Case -\xe2\x80\xa6',America coming CrookedHillary nJudge Reportedly Orders Hillary Clinton Deposition Email Case,0,0,,0,,,
03-03-2020 05:27,b'@azcentral Can commercial accounts opt in?  We will be filing our @CorpCommAZ complaint against @CenturyLink this w\xe2\x80\xa6 https://t.co/GqvqqzzgRD',commercial accounts will filing complaint against this https GqvqqzzgRD,-0.15,0.1,,-0.015,,Average,0.06296689
03-03-2020 05:21,"b""RT @azcentral: Arizona Attorney General's Office settles $11 million lawsuit against CenturyLink https://t.co/AO2bnN7igs""",Arizona Attorney General Office settles million lawsuit against CenturyLink https,0.05,0.5,,0.025,,,
03-03-2020 05:19,"b'RT @GeneralBrnovich: Our office has settled an $11 M lawsuit against CenturyLink for allegations of ""deceptive and unfair advertising and b\xe2\x80\xa6'",office settled lawsuit against CenturyLink allegations deceptive unfair advertising,-0.5,1,,-0.5,,,
03-03-2020 05:19,"b"".@ChrisEvans, would you accompany me to the Pats/Seahawks game this upcoming season in Seattle because I don't want\xe2\x80\xa6 https://t.co/mkIVsPM2YE""",would accompany Pats Seahawks game this upcoming season Seattle because want https mkIVsPM,-0.4,0.4,,-0.16,,,
03-03-2020 05:19,b'@GeneralBrnovich @GeneralBrnovich \xe2\x80\x94 Can commercial accounts opt in?  We will be filing our @CorpCommAZ complaint ag\xe2\x80\xa6 https://t.co/Ls520xfHCi',commercial accounts will filing complaint https xfHCi,-0.15,0.1,,-0.015,,,
03-03-2020 05:10,"b""Arizona Attorney General's Office settles $11 million lawsuit against CenturyLink https://t.co/AO2bnN7igs""",Arizona Attorney General Office settles million lawsuit against CenturyLink https,0.05,0.5,,0.025,,,
03-03-2020 05:08,b'Prime service powered by   Seriously 20 minutes of 3k ping yeah all right I\xe2\x80\x99ll remember this. @CenturyLink https://t.co/75vU16pF9f',Prime service powered Seriously minutes ping yeah right remember this https,-0.023809524,0.601190476,,-0.014314059,,,
03-03-2020 05:02,b'RT @JamonLorenzo: America is coming for you #CrookedHillary!\n\nJudge Reportedly Orders Hillary Clinton To Sit For Deposition In Email Case -\xe2\x80\xa6',America coming CrookedHillary nJudge Reportedly Orders Hillary Clinton Deposition Email Case,0,0,,0,,,
03-03-2020 04:55,b'New banner in the rafters of @CenturyLink_Fld #EBFG #Sounders #2StarStories \nhttps://t.co/iRjhziT3My https://t.co/n292CjJRaO',banner rafters EBFG Sounders StarStories nhttps iRjhziT https CjJRaO,0,0,,0,,,
03-03-2020 04:53,"b""If you're looking for work in #MinatoCity, Tokyo, check out this #CustomerService job via the link in our bio: Clie\xe2\x80\xa6 https://t.co/TyeQ50OhyE""",looking work MinatoCity Tokyo check this CustomerService link Clie https TyeQ OhyE,0,0,,0,,,
14-03-2020 13:23,"b'RT @NJBPU: All New Jersey phone and cable providers \xe2\x80\x93 including @verizon, @centurylink, @AlticeUSA, @comcast, and @CharterNewsroom \xe2\x80\x93 have s\xe2\x80\xa6'",Jersey phone cable providers including have,0,0,,0,,,
14-03-2020 13:17,b'RT @nealposse: Hey @Xfinity @CenturyLink ready to provide free internet access like @GetSpectrum did in WNY where there are Covid scares? S\xe2\x80\xa6',ready provide free internet access like where there Covid scares,0.3,0.65,,0.195,,,
14-03-2020 13:12,b'RT @Gadgetress: UPDATE: Comcast joins CenturyLink and removes internet data caps because of #COVID2019. Also opens its national Wi-Fi netwo\xe2\x80\xa6',UPDATE Comcast joins CenturyLink removes internet data caps because COVID Also opens national netwo,0,0,,0,,,
14-03-2020 13:12,b'@Chad_Reno13 Sure as hell Cox isn\xe2\x80\x99t. I may be the only person in the country desperate to go to Centurylink.',Sure hell only person country desperate Centurylink,-0.033333333,0.962962963,,-0.032098765,,,
14-03-2020 13:11,"b'We have 40 jobs open today at Emerson (@Emerson_Careers), CenturyLink, COLSA Corporation (@WorkWithCOLSA), and more.'",have jobs open today Emerson CenturyLink COLSA Corporation more,0.25,0.5,,0.125,,,
14-03-2020 13:09,"b'RT @NJBPU: All New Jersey phone and cable providers \xe2\x80\x93 including @verizon, @centurylink, @AlticeUSA, @comcast, and @CharterNewsroom \xe2\x80\x93 have s\xe2\x80\xa6'",Jersey phone cable providers including have,0,0,,0,,,
14-03-2020 13:08,"b'Interested in a job in #Monroe, LA? This could be a great fit. Click the link in our bio to apply: Sr Software Developer at CenturyLink #IT'",Interested Monroe This could great Click link apply Software Developer CenturyLink,0.525,0.625,,0.328125,,,
14-03-2020 13:06,"b'Hybrid networking, cloud connectivity, and security solutions provider, CenturyLink, has added IBM Cloud to its gro\xe2\x80\xa6 https://t.co/6XweIeByOt'",Hybrid networking cloud connectivity security solutions provider CenturyLink added Cloud https XweIeByOt,0,0,,0,,,
14-03-2020 13:02,b'RT @ArnaudZ1: #Florida county picks @CenturyLinkGov for next-gen #911 system @Light_Reading https://t.co/GvHyXsdORK',Florida county picks next system https GvHyXsdORK,0,0,,0,,,
14-03-2020 13:02,"b'RT @NJBPU: All New Jersey phone and cable providers \xe2\x80\x93 including @verizon, @centurylink, @AlticeUSA, @comcast, and @CharterNewsroom \xe2\x80\x93 have s\xe2\x80\xa6'",Jersey phone cable providers including have,0,0,,0,,,
14-03-2020 13:01,"b'Check out the 130 latest openings at Cameron Craig Group (@cameroncraig), CenturyLink, DriveTime (@RobynJo69617122), and more.'",Check latest openings Cameron Craig Group CenturyLink DriveTime more,0.5,0.7,,0.35,,,
14-03-2020 12:58,"b'RT @NJBPU: All New Jersey phone and cable providers \xe2\x80\x93 including @verizon, @centurylink, @AlticeUSA, @comcast, and @CharterNewsroom \xe2\x80\x93 have s\xe2\x80\xa6'",Jersey phone cable providers including have,0,0,,0,,,
14-03-2020 12:57,b'My father has been dead for over 10 years and a year ago.  She\xe2\x80\x99s on the account as a user but that isn\xe2\x80\x99t enough now\xe2\x80\xa6 https://t.co/iGoCCYYnqF',father been dead over years year account user that enough https iGoCCYYnqF,-0.1,0.45,,-0.045,,,
14-03-2020 12:51,"b'RT @NJBPU: All New Jersey phone and cable providers \xe2\x80\x93 including @verizon, @centurylink, @AlticeUSA, @comcast, and @CharterNewsroom \xe2\x80\x93 have s\xe2\x80\xa6'",Jersey phone cable providers including have,0,0,,0,,,
14-03-2020 12:51,"b'Check out the 183 latest openings at CenturyLink, CROSSMARK (@CROSSMARKJobs), US Foods, and more.'",Check latest openings CenturyLink CROSSMARK Foods more,0.5,0.7,,0.35,,,
15-03-2020 11:44,"b'Centurylink Inc $CTL Director Buys $92,500.00 in Stock https://t.co/kyqnzxkbCK'",Centurylink Director Buys Stock https kyqnzxkbCK,0,0,,0,,,
15-03-2020 11:44,"b'Centurylink Inc $CTL Director Buys $92,500.00 in Stock https://t.co/aA8zcohtcV'",Centurylink Director Buys Stock https zcohtcV,0,0,,0,,,
15-03-2020 11:43,"b'Centurylink Inc $CTL Director Buys $92,500.00 in Stock https://t.co/uOLQ3j5HbF'",Centurylink Director Buys Stock https uOLQ,0,0,,0,,,
15-03-2020 11:18,b'.@CenturyLink will help digitize the #2020Census. #TeamCTL  https://t.co/xhaazNLdv3 https://t.co/JfNQ9d5WCp',will help digitize Census TeamCTL https xhaazNLdv https JfNQ,0,0,,0,,,
15-03-2020 11:18,b'Getting a full image of what current challenges your organization is facing with #WAN and what you would ideally li\xe2\x80\xa6 https://t.co/ovWk7jib43',Getting full image what current challenges your organization facing with what would ideally https ovWk,0.416666667,0.65,,0.270833333,,,
15-03-2020 11:07,b'Directional Bias for Centurylink $CTL Trading Report https://t.co/yJeyXHVWAA Click for Details https://t.co/dIHOfd7TUo',Directional Bias Centurylink Trading Report https yJeyXHVWAA Click Details https dIHOfd,0,0,,0,,,
15-03-2020 11:02,b'Centurylink $CTL Trading Report https://t.co/S5UJnPmVAr Click for Buy/Sell',Centurylink Trading Report https UJnPmVAr Click Sell,0,0,,0,,,
15-03-2020 10:19,b'Your internet is trash @CenturyLink',Your internet trash,0,0,,0,,,
15-03-2020 10:02,"b'39 hours later &amp; centurylink still hasnt repaired the lines to our house so no 25mb for me :( i just want them to lose, they win'",hours later centurylink still hasnt repaired lines house just want them lose they,0,0,,0,,,
