,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
07-03-2020 12:26,"b'If anyone has the option between Centurylink internet or another provider, take the other provider, this is the 3rd\xe2\x80\xa6 https://t.co/ehMFdhS5J3'",anyone option between Centurylink internet another provider take other provider this https ehMFdhS,-0.125,0.375,,-0.046875,,,
,,,0,0,,0,,Sum,24.66560719
07-03-2020 04:11,b'@MicDaMicrophone Sparklight down here in south texas is having a dumping of its life right now as well',Sparklight down here south texas having dumping life right well,0.065079365,0.412301587,,0.026832326,,,
06-03-2020 23:43,"b""@CableOne It's been a few days since @AMC_TV dropped @sparklightcares / @CableOne. When will this be resolved, plea\xe2\x80\xa6 https://t.co/HjxBt6ZLsl""",been days since dropped When will this resolved plea https HjxBt ZLsl,0,0,,0,,,
06-03-2020 16:03,"b""@TheOfficalSuper @AlicornPhoenix If you bother to do research, which you clearly haven't, this is the post Sparklig\xe2\x80\xa6 https://t.co/tvmibHzxIC""",bother research which clearly haven this post Sparklig https tvmibHzxIC,0,0,,0,,,
06-03-2020 12:55,"b'The Chairman, Sparklight Property Development Company, Chief Olutoyin Adeyinka, has said the government can transfo\xe2\x80\xa6 https://t.co/dGAdo46RM1'",Chairman Sparklight Property Development Company Chief Olutoyin Adeyinka said government transfo https dGAdo,0,0,,0,,Average,0.046803809
06-03-2020 12:46,"b'Sparklight is #NowHiring Field and Broadband Technicians in #Nampa, #Boise, #McCall and #Lewiston, #Idaho! Apply to\xe2\x80\xa6 https://t.co/m6PdcxGGlT'",Sparklight NowHiring Field Broadband Technicians Nampa Boise McCall Lewiston Idaho Apply https PdcxGGlT,0.1,0.383333333,,0.038333333,,,
06-03-2020 03:27,"b'US to miss rollout goal this week on virus tests, senators say -  - Sparklight https://t.co/zw8JAy0ReQ'",miss rollout goal this week virus tests senators Sparklight https,0,0,,0,,,
06-03-2020 02:39,"b""@AMC_TV, your app no longer lists Sparklight / Cable One among its TV providers. This wasn't the case two days ago,\xe2\x80\xa6 https://t.co/MEw1VS2yvM""",your longer lists Sparklight Cable among providers This wasn case days https,0,0,,0,,,
06-03-2020 00:11,"b""RT @KVRRTV: Watch Moorhead @Spud_Hockey take on Hill-Murray tomorrow night at 8:00 in the Boys' Class AA Hockey Tournament on @AntennaTV. Y\xe2\x80\xa6""",Watch Moorhead take Hill Murray tomorrow night Boys Class Hockey Tournament,0,0,,0,,,
05-03-2020 19:29,"b'RT @TedatACA: @ACAConnects member Sparklight @sparklightcares To Award $15,000 To Help Students Dream Bigger - One to One | https://t.co/BP\xe2\x80\xa6'",member Sparklight Award Help Students Dream Bigger https,0,0,,0,,,
05-03-2020 17:10,"b""RT @KVRRTV: Watch Moorhead @Spud_Hockey take on Hill-Murray tomorrow night at 8:00 in the Boys' Class AA Hockey Tournament on @AntennaTV. Y\xe2\x80\xa6""",Watch Moorhead take Hill Murray tomorrow night Boys Class Hockey Tournament,0,0,,0,,,
05-03-2020 17:06,b'RT. TELL @sparklightcares  SPARKLIGHT(CABLE ONE) TO ADD OAN TO THEIR LINEUP. Operator says they get lots of request\xe2\x80\xa6 https://t.co/cQoHWvDZMD',TELL SPARKLIGHT CABLE THEIR LINEUP Operator says they lots request https cQoHWvDZMD,0,0,,0,,,
05-03-2020 16:23,b'RT @sparklightcares: Sparklight is #NowHiring a Linux Infrastructure Engineer in #PhoenixAZ. Visit https://t.co/aO5WuPkbKj to learn why Spa\xe2\x80\xa6',Sparklight NowHiring Linux Infrastructure Engineer PhoenixAZ Visit https WuPkbKj learn,0,0,,0,,,
05-03-2020 16:22,b'Sparklight is #NowHiring a Linux Infrastructure Engineer in #PhoenixAZ. Visit https://t.co/aO5WuPkbKj to learn why\xe2\x80\xa6 https://t.co/LLjo4BTkAb',Sparklight NowHiring Linux Infrastructure Engineer PhoenixAZ Visit https WuPkbKj learn https LLjo BTkAb,0,0,,0,,,
05-03-2020 14:36,"b'RT @TedatACA: @ACAConnects member Sparklight @sparklightcares To Award $15,000 To Help Students Dream Bigger - One to One | https://t.co/BP\xe2\x80\xa6'",member Sparklight Award Help Students Dream Bigger https,0,0,,0,,,
15-03-2020 11:57,"b'In the light of obstacles be a solution bringer, a light in the midst of the obstacle...PYO #SparkLight #LightInTheObstacles'",light obstacles solution bringer light midst obstacle SparkLight LightInTheObstacles,0,0,,0,,,
15-03-2020 11:13,b'PYO @TC Speaking on \xe2\x80\x9cSparks of Light\xe2\x80\x9d #SparkLight https://t.co/qcQuxEzR57',Speaking cSparks Light SparkLight https qcQuxEzR,0,0,,0,,,
14-03-2020 23:32,"b'RT @magodolagos: SALE OF PROPERTY\n3 bedroom semi-detached bungalow.\n\nLocation of property: Sparklight Lakeshore Estate, OPIC Isheri, Ogun s\xe2\x80\xa6'",SALE PROPERTY bedroom semi detached bungalow nLocation property Sparklight Lakeshore Estate OPIC Isheri Ogun,0,0.5,,0,,,
14-03-2020 23:17,b'RT @sparklightcares: Sparklight is making Unlimited Data available on all Internet plans and waiving late fees for 30 Days during the Coron\xe2\x80\xa6',Sparklight making Unlimited Data available Internet plans waiving late fees Days during Coron,0,0,,0,,,
14-03-2020 23:11,b'RT @sparklightcares: Sparklight is making Unlimited Data available on all Internet plans and waiving late fees for 30 Days during the Coron\xe2\x80\xa6',Sparklight making Unlimited Data available Internet plans waiving late fees Days during Coron,0,0,,0,,,
14-03-2020 23:01,b'@aubrey75092 My Sparklight service has been wonky at best the last two weeks.  Service may be a bigger test than th\xe2\x80\xa6 https://t.co/HRLrAz14Oz',Sparklight service been wonky best last weeks Service bigger test than https HRLrAz,0,0,,0,,,
14-03-2020 21:03,b'Ilhan Omar Funneled Cash To Lovers Consulting Group - news - Sparklight https://t.co/bv2aJcFfKL',Ilhan Omar Funneled Cash Lovers Consulting Group news Sparklight https aJcFfKL,0,0,,0,,,
14-03-2020 20:41,b'RT @sparklightcares: Sparklight is making Unlimited Data available on all Internet plans and waiving late fees for 30 Days during the Coron\xe2\x80\xa6',Sparklight making Unlimited Data available Internet plans waiving late fees Days during Coron,0,0,,0,,,
14-03-2020 19:36,"b""Sparklight removed data caps for 30-days so I've downloaded 400GB of stuff and counting just on Xbox today. Data ca\xe2\x80\xa6 https://t.co/BMhVoQpEH1""",Sparklight removed data caps days downloaded stuff counting just Xbox today Data https BMhVoQpEH,0,0,,0,,,
14-03-2020 18:15,"b'RT @BoiseDev: Stuck at home? Sparklight changing data cap policy, for now #BoiseDev https://t.co/8TUIkB0dXD'",Stuck home Sparklight changing data policy BoiseDev https TUIkB,0,0,,0,,,
14-03-2020 18:05,b'So @sparklight #sparklight bravo for your wonderful ideas on doing upgrades on a weekend.... Way to cockblock my in\xe2\x80\xa6 https://t.co/LGOOqsJqMf',sparklight bravo your wonderful ideas doing upgrades weekend cockblock https LGOOqsJqMf,0,0,,0,,,
14-03-2020 17:35,b'@ACAConnects member Sparklight adjusting broadband data cap policy to help consumers amid COVID-19 breakout |\xe2\x80\xa6 https://t.co/h3sVYAUWlm',member Sparklight adjusting broadband data policy help consumers amid COVID breakout https sVYAUWlm,0,0,,0,,,
14-03-2020 17:33,b'Another Internet provider temporarily drops data caps to help everyone stuck at home. Thanks Sparklight. #WFH\xe2\x80\xa6 https://t.co/cgyU9vGMil',Another Internet provider temporarily drops data caps help everyone stuck home Thanks Sparklight https cgyU vGMil,0,0.5,,0,,,
14-03-2020 16:43,"b'SALE OF PROPERTY\n3 bedroom semi-detached bungalow.\n\nLocation of property: Sparklight Lakeshore Estate, OPIC Isheri,\xe2\x80\xa6 https://t.co/Vqv0Xor6jo'",SALE PROPERTY bedroom semi detached bungalow nLocation property Sparklight Lakeshore Estate OPIC Isheri https,0.25,0.466666667,,0.116666667,,,
14-03-2020 16:11,"b'Stuck at home? Sparklight changing data cap policy, for now #BoiseDev https://t.co/8TUIkB0dXD'",Stuck home Sparklight changing data policy BoiseDev https TUIkB,0.4,0.7,,0.28,,,
15-03-2020 22:30,b'Sparklight announced on Friday that it will make unlimited data available on all internet services for 30 days and\xe2\x80\xa6 https://t.co/slkYgyKOTE',Sparklight announced Friday that will make unlimited data available internet services days https slkYgyKOTE,0,0,,0,,,
15-03-2020 12:14,"b'What your epilogue will be, is up to you...PYO #SparkLight #YourEpilogueIsYours'",What your epilogue will SparkLight YourEpilogueIsYours,0.05,0.5,,0.025,,,
15-03-2020 11:59,"b'You should be decreeing a thing and it should come to pass, because you know your God...PYO #SparkLight #DecreeAThing #KnowYourGod'",should decreeing thing should come pass because know your SparkLight DecreeAThing KnowYourGod,0.05,0.5,,0.025,,,
17-03-2020 03:21,b'https://t.co/Krv1JnCY1s Sparklight Opens WiFi Hotspots to Assist Communities During Coronavirus (COVID-19) Crisis',https JnCY Sparklight Opens WiFi Hotspots Assist Communities During Coronavirus COVID Crisis,0.175,0.291666667,,0.051041667,,,
17-03-2020 02:18,b'RT @ktivnews: Sparklight opens WiFi hotspot to assist Sioux City During COVID-19 outbreak\nhttps://t.co/x9kchmZORt https://t.co/xpB9cM4zVU',Sparklight opens WiFi hotspot assist Sioux City During COVID outbreak nhttps kchmZORt https,0,0,,0,,,
