,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
07-03-2020 09:20,"b""A good cellular connection is so important  cox it keeps u connected no matter how bad other networks are... That's\xe2\x80\xa6 https://t.co/I5uRCHZMrr""",good cellular connection important keeps connected matter other networks That https uRCHZMrr,0.325,0.658333333,,0.213958333,,Sum,127.2549744
,,,0,0,,0,,,
07-03-2020 04:42,b'@_Concretee U.S Cellular can save the voicemail and email you a file of it! They did that for my dads',Cellular save voicemail email file They that dads,0,0,,0,,,
07-03-2020 01:41,"b'@joelr9801 @ckkirsch1 Dennis O\xe2\x80\x99Brien, owner and CEO of Digicel in Haiti, personally traveled every 2 months in his\xe2\x80\xa6 https://t.co/jWqtYFeLfF'",Dennis Brien owner Digicel Haiti personally traveled every months https jWqtYFeLfF,0,0,,0,,Average,0.022842394
07-03-2020 00:05,b'RT @craigrock2776: well I thank you for your answer u.s. cellular I am sorry also that you could not provide us with any of these apps mayb\xe2\x80\xa6',well thank your answer cellular sorry also that could provide with these apps mayb,0,0.3,,0,,,
07-03-2020 00:04,b'well I thank you for your answer u.s. cellular I am sorry also that you could not provide us with any of these apps\xe2\x80\xa6 https://t.co/q87zIiUmum',well thank your answer cellular sorry also that could provide with these apps https zIiUmum,0,0,,0,,,
07-03-2020 00:02,b'At&amp;T Mobility and U.S. Cellular both have several new deployments all around the United States. Play in Poland also\xe2\x80\xa6 https://t.co/DTRrRncyyT',Mobility Cellular both have several deployments around United States Play Poland also https DTRrRncyyT,-0.5,1,,-0.5,,,
06-03-2020 23:42,b'u.s. cellular we will be getting back ahold of you as soon as we are done',cellular will getting back ahold soon done,0,0,,0,,,
06-03-2020 23:40,b'u.s. cellular we are looking through your apps and we are reading about your company on my tablet right now I see a\xe2\x80\xa6 https://t.co/G8IYOZnNyr',cellular looking through your apps reading about your company tablet right https IYOZnNyr,-0.5,1,,-0.5,,,
06-03-2020 23:38,b'u.s. cellular as soon as I ask you a few questions then I got a answer from T-Mobile but then when we went to answe\xe2\x80\xa6 https://t.co/2AhLbPeBBq',cellular soon questions then answer from Mobile then when went answe https AhLbPeBBq,0,0,,0,,,
06-03-2020 23:37,b'@KonstantinMetz @TMobileHelp you know how many times I have reached out to them and they just act like the customer\xe2\x80\xa6 https://t.co/mrevkhIDjR',know many times have reached them they just like customer https mrevkhIDjR,0,0,,0,,,
