,Tweets,clean_tweet,polarity,subjectivity,,Product,,,,,
03-03-2020 07:00,b'RT @80sThen80sNow: Kids and Teens Today Will NEVER Understand Our Outside Struggles.  \n\nLove the 1980s?  Visit The #1 Ranked 80s Website To\xe2\x80\xa6',Kids Teens Today Will NEVER Understand Outside Struggles nLove Visit Ranked Website,0,0.05,,0,,,,,
03-03-2020 07:00,"b""@jkfecke Wait breaking up Verizon or Comcast wouldn't be constructive wtf? How much you getting paid for your statements lol""",Wait breaking Verizon Comcast wouldn constructive much getting paid your statements,0.2,0.2,,0.04,,,,,
03-03-2020 06:59,"b'RT @Amy_Siskind: This story did not get enough attention last week:  Elliot Associates, whose founder is a Trump donor, has taken a huge st\xe2\x80\xa6'",This story enough attention last week Elliot Associates whose founder Trump donor taken huge,0.133333333,0.488888889,,0.065185185,,,,,
03-03-2020 06:59,b'@MasaSonCap @billho888 @WaltLightShed @saschasegan @opensignal @verizon @TMobile @sprint The truth is that Softbank\xe2\x80\xa6 https://t.co/RPoVgZPpjt',truth that Softbank https RPoVgZPpjt,0,0,,0,,,,,
03-03-2020 06:58,"b""Thought just hit me - why they selling us NEW 5G capable phones when ALL phones are already 5G capable?\n\nDon't beli\xe2\x80\xa6 https://t.co/mqurCX4xq4""",Thought just they selling capable phones when phones already capable nDon beli https mqurCX,0.133333333,0.488888889,,0.065185185,,,,,
03-03-2020 06:57,b'RT @warriors: ROLL THE TAPE \xf0\x9f\x8e\x9e\xef\xb8\x8f\n\nPlays of the Week || @verizon https://t.co/uprfGhvUoc',ROLL TAPE nPlays Week https uprfGhvUoc,0.2,0.4,,0.08,,,,,
03-03-2020 06:57,"b'RT @saschasegan: I rant about midband 5G a lot - this @OpenSignal report shows why. @Verizon is fast and @TMobile has coverage, but @Sprint\xe2\x80\xa6'",rant about midband this report shows fast coverage,0,0,,0,,,,,
03-03-2020 06:55,"b'@skinny_que I recommend Mint. You can connect your accounts (Verizon, State Farm, etc) and get reminders for them all.'",recommend Mint connect your accounts Verizon State Farm reminders them,0.2,0.6,,0.12,,,,,
03-03-2020 06:55,"b""@HiItsBrant It's so wonderful to hear that you're getting the excellent customer service you deserve. We're happy t\xe2\x80\xa6 https://t.co/tzk7BF2bC3""",wonderful hear that getting excellent customer service deserve happy https,0.2,0.6,,0.12,,,,,
03-03-2020 06:55,"b'Smart City Platform Market Continuous Technology Developments by 2027 \xe2\x80\x93 Nokia Corporation, SAP SE, Siemens AG, Veri\xe2\x80\xa6 https://t.co/RV9AsBJPef'",Smart City Platform Market Continuous Technology Developments Nokia Corporation Siemens Veri https AsBJPef,0,0,,0,,,,,
03-03-2020 06:54,b'@kissmebih090194 Verizon',Verizon,0.933333333,1,,0.933333333,,,,,
03-03-2020 06:48,b'RT @jon_prosser: Update: This Verizon image is ripped from an EverythingApplePro video and is being used for pre-release \xf0\x9f\x98\x82\n\nIf you see this\xe2\x80\xa6',Update This Verizon image ripped from EverythingApplePro video being used release this,0.214285714,0.642857143,,0.137755102,,,,,
03-03-2020 06:43,"b""Turned on a @verizon MiFi device today and got this little gem. I'm not mad it's Bloomberg, I'm mad they are spammi\xe2\x80\xa6 https://t.co/NoGplDYAIW""",Turned MiFi device today this little Bloomberg they spammi https NoGplDYAIW,0,0,,0,,,,,
05-03-2020 04:25,b'@kim53957206 @verizon @ShawnMendes Can I pay for it',,0,0,,0,,,,,
,,,-0.1875,0.5,,-0.09375,,,,,
05-03-2020 04:25,b'RT @caarolinegracce: i been single so long somebody asked who im with &amp; i said Verizon \xf0\x9f\x98\x94',been single long somebody asked with said Verizon,0,0.05,,0,,,,,
05-03-2020 04:23,b'@verizon When will we see 5G around Baltimore?',When will around Baltimore,0.2,0.2,,0.04,,,,,
05-03-2020 04:23,b'All these services with 5G and Verizon be giving 3G sometimes. Tuah. They finna lose one.',these services with Verizon giving sometimes Tuah They finna lose,0.133333333,0.488888889,,0.065185185,,,,,
05-03-2020 04:23,"b'@TruthChanges Hello Michael, the AOL company name has changed to Oath. Oath is part of the Verizon family of compan\xe2\x80\xa6 https://t.co/RLqp0oQLgh'",Hello Michael company name changed Oath Oath part Verizon family compan https RLqp oQLgh,0,0,,0,,,,,
05-03-2020 04:22,"b'So much for @TMobile and their ""unlimited"" it is only unlimited got do much then they throttle you back just like\xe2\x80\xa6 https://t.co/DAZZyCc2tH'",much their unlimited only unlimited much then they throttle back just like https DAZZyCc,0.133333333,0.488888889,,0.065185185,,,,,
05-03-2020 04:22,b'RT @caarolinegracce: i been single so long somebody asked who im with &amp; i said Verizon \xf0\x9f\x98\x94',been single long somebody asked with said Verizon,0.2,0.4,,0.08,,,,,
05-03-2020 04:19,b'Verizon is shutting down their CDMA by end of this year so verizon is the first to offer all LTE network or 5G. At&amp;\xe2\x80\xa6 https://t.co/a9LMQEsfyN',Verizon shutting down their CDMA this year verizon first offer network https LMQEsfyN,0,0,,0,,,,,
05-03-2020 04:18,b'No line on the Verizon\n#MakeACommercialSing',line Verizon MakeACommercialSing,0.2,0.6,,0.12,,,,,
